i,n,b_low,b_high,r,approx,n_calls,time_ms
1,50,1,1,12,1006.0,264,3
2,50,1,1,12,1006.0,264,3
3,50,1,1,12,943.0,264,3
4,50,1,1,12,970.0,264,3
5,50,1,1,12,993.0,264,3
6,50,1,1,12,981.0,264,2
7,50,1,1,12,993.0,264,2
8,50,1,1,12,1006.0,264,2
9,50,1,1,12,984.0,264,2
10,50,1,1,12,968.0,264,2
11,50,1,1,12,993.0,264,2
12,50,1,1,12,991.0,264,2
13,50,1,1,12,955.0,264,2
14,50,1,1,12,982.0,264,2
15,50,1,1,12,984.0,264,2
16,50,1,1,12,1006.0,264,2
17,50,1,1,12,1006.0,264,2
18,50,1,1,12,1006.0,264,2
19,50,1,1,12,982.0,264,2
20,50,1,1,12,1006.0,264,2
21,50,1,1,12,1006.0,264,2
22,50,1,1,12,1006.0,264,2
23,50,1,1,12,984.0,264,2
24,50,1,1,12,1006.0,264,2
25,50,1,1,12,983.0,264,2
26,50,1,1,12,991.0,264,2
27,50,1,1,12,993.0,264,2
28,50,1,1,12,1006.0,264,2
29,50,1,1,12,984.0,264,2
30,50,1,1,12,1006.0,264,2
31,50,1,1,12,984.0,264,2
32,50,1,1,12,993.0,264,2
33,50,1,1,12,1006.0,264,2
34,50,1,1,12,993.0,264,2
35,50,1,1,12,1006.0,264,2
36,50,1,1,12,1006.0,264,2
37,50,1,1,12,984.0,264,2
38,50,1,1,12,1006.0,264,2
39,50,1,1,12,1006.0,264,2
40,50,1,1,12,993.0,264,2
41,50,1,1,12,993.0,264,2
42,50,1,1,12,977.0,264,2
43,50,1,1,12,1006.0,264,2
44,50,1,1,12,984.0,264,2
45,50,1,1,12,1006.0,264,2
46,50,1,1,12,1006.0,264,2
47,50,1,1,12,991.0,264,2
48,50,1,1,12,1006.0,264,2
49,50,1,1,12,991.0,264,2
50,50,1,1,12,1006.0,264,2
51,50,1,1,12,991.0,264,2
52,50,1,1,12,1006.0,264,2
53,50,1,1,12,1006.0,264,2
54,50,1,1,12,983.0,264,2
55,50,1,1,12,1006.0,264,2
56,50,1,1,12,969.0,264,2
57,50,1,1,12,993.0,264,2
58,50,1,1,12,984.0,264,2
59,50,1,1,12,1006.0,264,2
60,50,1,1,12,982.0,264,2
61,50,1,1,12,1006.0,264,2
62,50,1,1,12,993.0,264,2
63,50,1,1,12,993.0,264,2
64,50,1,1,12,981.0,264,2
65,50,1,1,12,984.0,264,2
66,50,1,1,12,1006.0,264,2
67,50,1,1,12,986.0,264,2
68,50,1,1,12,1006.0,264,2
69,50,1,1,12,969.0,264,2
70,50,1,1,12,993.0,264,2
71,50,1,1,12,983.0,264,2
72,50,1,1,12,1006.0,264,2
73,50,1,1,12,984.0,264,2
74,50,1,1,12,991.0,264,2
75,50,1,1,12,986.0,264,2
76,50,1,1,12,1006.0,264,2
77,50,1,1,12,991.0,264,2
